name	component	type	tracked_point	units	sampling_frequency	tracking_system
r_sk1_POS_y	y	POS	r_sk1	mm	200	omc
r_sk1_POS_z	z	POS	r_sk1	mm	200	omc
r_sk1_POS_n/a	n/a	POS	r_sk1	mm	200	omc
r_sk2_POS_x	x	POS	r_sk2	mm	200	omc
r_sk2_POS_y	y	POS	r_sk2	mm	200	omc
r_sk2_POS_z	z	POS	r_sk2	mm	200	omc
r_sk2_POS_n/a	n/a	POS	r_sk2	mm	200	omc
r_sk3_POS_x	x	POS	r_sk3	mm	200	omc
r_sk3_POS_y	y	POS	r_sk3	mm	200	omc
r_sk3_POS_z	z	POS	r_sk3	mm	200	omc
r_sk3_POS_n/a	n/a	POS	r_sk3	mm	200	omc
r_sk4_POS_x	x	POS	r_sk4	mm	200	omc
r_sk4_POS_y	y	POS	r_sk4	mm	200	omc
r_sk4_POS_z	z	POS	r_sk4	mm	200	omc
r_sk4_POS_n/a	n/a	POS	r_sk4	mm	200	omc
r_th1_POS_x	x	POS	r_th1	mm	200	omc
r_th1_POS_y	y	POS	r_th1	mm	200	omc
r_th1_POS_z	z	POS	r_th1	mm	200	omc
r_th1_POS_n/a	n/a	POS	r_th1	mm	200	omc
r_th2_POS_x	x	POS	r_th2	mm	200	omc
r_th2_POS_y	y	POS	r_th2	mm	200	omc
r_th2_POS_z	z	POS	r_th2	mm	200	omc
r_th2_POS_n/a	n/a	POS	r_th2	mm	200	omc
r_th3_POS_x	x	POS	r_th3	mm	200	omc
r_th3_POS_y	y	POS	r_th3	mm	200	omc
r_th3_POS_z	z	POS	r_th3	mm	200	omc
r_th3_POS_n/a	n/a	POS	r_th3	mm	200	omc
r_th4_POS_x	x	POS	r_th4	mm	200	omc
r_th4_POS_y	y	POS	r_th4	mm	200	omc
r_th4_POS_z	z	POS	r_th4	mm	200	omc
r_th4_POS_n/a	n/a	POS	r_th4	mm	200	omc
l_asis_POS_x	x	POS	l_asis	mm	200	omc
l_asis_POS_y	y	POS	l_asis	mm	200	omc
l_asis_POS_z	z	POS	l_asis	mm	200	omc
l_asis_POS_n/a	n/a	POS	l_asis	mm	200	omc
r_asis_POS_x	x	POS	r_asis	mm	200	omc
r_asis_POS_y	y	POS	r_asis	mm	200	omc
r_asis_POS_z	z	POS	r_asis	mm	200	omc
r_asis_POS_n/a	n/a	POS	r_asis	mm	200	omc
l_psis_POS_x	x	POS	l_psis	mm	200	omc
l_psis_POS_y	y	POS	l_psis	mm	200	omc
l_psis_POS_z	z	POS	l_psis	mm	200	omc
l_psis_POS_n/a	n/a	POS	l_psis	mm	200	omc
r_psis_POS_x	x	POS	r_psis	mm	200	omc
r_psis_POS_y	y	POS	r_psis	mm	200	omc
r_psis_POS_z	z	POS	r_psis	mm	200	omc
r_psis_POS_n/a	n/a	POS	r_psis	mm	200	omc
m_ster1_POS_x	x	POS	m_ster1	mm	200	omc
m_ster1_POS_y	y	POS	m_ster1	mm	200	omc
m_ster1_POS_z	z	POS	m_ster1	mm	200	omc
m_ster1_POS_n/a	n/a	POS	m_ster1	mm	200	omc
m_ster2_POS_x	x	POS	m_ster2	mm	200	omc
m_ster2_POS_y	y	POS	m_ster2	mm	200	omc
m_ster2_POS_z	z	POS	m_ster2	mm	200	omc
m_ster2_POS_n/a	n/a	POS	m_ster2	mm	200	omc
m_ster3_POS_x	x	POS	m_ster3	mm	200	omc
m_ster3_POS_y	y	POS	m_ster3	mm	200	omc
m_ster3_POS_z	z	POS	m_ster3	mm	200	omc
m_ster3_POS_n/a	n/a	POS	m_ster3	mm	200	omc
l_sho_POS_x	x	POS	l_sho	mm	200	omc
l_sho_POS_y	y	POS	l_sho	mm	200	omc
